id,domain,subdomain,technology,substrate_type,primary_dependencies,invention_year,invention_year_defense,us_commercial_launch_year,us_commercial_launch_defense,delta_years,fundamental_scaling_metric,recommended_us_adoption_metric,denominator,t10_years,t25_years,t50_years,t75_years,peak_adoption_or_current_status,source_count,confidence,notes
"immune_system/modern_hospital_systems","Immune_System","Care_Delivery","Modern Hospital Systems","Hard","immune_system/municipal_sanitation;immune_system/water_filtration_and_chlorination;metabolism/electricity","1946","1946 is the strongest practical invention boundary for the modern U.S. hospital-system substrate because Hill-Burton created a coordinated federal-state program to survey, finance, and build a nationwide acute-care hospital network.","1946","1946 is also the clearest U.S. public-deployment boundary because Hill-Burton immediately authorized grants to states for hospital and public health center construction rather than merely studying the problem.","0","Cost per adjusted patient day or staffed bed-day delivered.","Share of U.S. population with access to community hospital beds (per 1,000 population), with staffed acute-care hospital admissions or discharges as supporting series.","Population","","","","","Core care-delivery substrate for inpatient acute medicine, trauma, surgery, and advanced diagnostics, though bed intensity and organizational form have shifted over time.","4","medium","This row is intentionally scoped to the post-1946 modern hospital network and not to earlier almshouses, charitable hospitals, or one-off specialty institutions. Tier 1 diffusion attempt deferred because hospital-capacity series shift across bed definitions, community-hospital scope, and system consolidation, making one clean national threshold run unstable."
"immune_system/municipal_sanitation","Immune_System","Sanitation","Municipal Sanitation","Hard","","1855","1855 is the best current practical invention boundary because Chicago created its Board of Sewerage Commissioners and commissioned what contemporary city histories describe as the first comprehensive underground sewer plan in the United States.","1856","1856 is the stronger U.S. public-deployment boundary because construction of Chicago's comprehensive sewer system had begun, meaning municipalities were utilizing the technology in operating public works rather than only planning it.","1","Cost per capita served or per million gallons collected and treated.","Share of the U.S. urban population served by municipal sewerage and related sanitation systems.","Population","4","24","44","64","Municipal sanitation is a persistent public-health substrate with near-universal expectation in dense urban areas.","9","medium","This row currently centers sewerage; treated-water milestones may later split into a separate substrate. Diffusion milestones use the estimated percentage of the U.S. urban population served by sewers (Joel Tarr / National Research Council)."
"immune_system/public_health_surveillance","Immune_System","Surveillance","Public Health Surveillance","Soft","nervous_system/telegraph;nervous_system/telephone","1878","1878 is the strongest practical invention boundary because Congress authorized federal collection and publication of morbidity reports, creating the first precursor of recurring U.S. disease surveillance.","1893","1893 is the clearest U.S. public-deployment boundary because weekly collection from state and municipal authorities established a broader operating surveillance network rather than a narrower quarantine bulletin.","15","Cost per capita covered or per reportable event processed.","Share of the U.S. population covered by nationally notifiable disease surveillance and reporting systems.","Population","","","","","Core coordination substrate for outbreak detection, immunization targeting, public-health response, and routine epidemiological monitoring.","3","medium","Centers recurring surveillance infrastructure rather than one publication title such as MMWR; 1925 remains the milestone when all states were reporting regularly. Tier 1 diffusion attempt deferred because no single national population-coverage series runs cleanly from the 1878-1893 launch era through the mature notifiable-disease system."
"immune_system/vaccination_infrastructure","Immune_System","Immunization","Vaccination Infrastructure","Soft","immune_system/public_health_surveillance;vascular/refrigerated_logistics_cold_chain","1962","1962 is the strongest current invention boundary because the Vaccination Assistance Act and the CDC Immunization Assistance Grant Program created a recurring national framework for delivery infrastructure rather than isolated vaccine campaigns.","1962","1962 is the better launch year because the Immunization Assistance Grant Program was established and administered through project grants that year, making the infrastructure available to state and local public-health systems immediately.","0","Cost per fully immunized person.","Coverage rate for universally recommended childhood vaccination schedules.","Population","0","0","0","8","Core public-health substrate, though confidence, uptake, and governance remain uneven across place and period.","7","medium","National infrastructure boundary starts in 1962; earlier local programs are treated as precursors. Diffusion milestones use the childhood DTP (3+ doses) coverage series as a proxy for national infrastructure reach; because coverage was already ~68% at the 1962 launch, T10-T50 are recorded as 0 years."
"immune_system/water_filtration_and_chlorination","Immune_System","Water","Water Filtration and Chlorination","Hard","immune_system/municipal_sanitation","1908","1908 is the strongest practical invention boundary for the modern U.S. treated-water substrate because routine chlorination completed a scalable filtration-plus-disinfection regime rather than a filtration-only precursor.","1908","1908 is the clearest U.S. public-deployment boundary because Jersey City began routine community-water chlorination that year and the model rapidly spread across municipal systems.","0","Cost per million gallons treated.","Share of the U.S. population served by filtered and disinfected community water systems.","Population","","","","","Core public-health substrate and baseline expectation for municipal drinking water in the modern United States.","3","medium","Earlier filtration-only milestones remain important precursors, but 1908 is used to represent the modern U.S. treated-water regime centered on routine disinfection. Tier 1 diffusion attempt deferred because the strongest national series mix filtration, chlorination, and community-water coverage without one continuous treated-population threshold series."
"metabolism/bessemer_steel","Metabolism","Materials","Bessemer Steel","Hard","","1856","Henry Bessemer's 1856 converter announcement is the standard practical invention boundary because it demonstrated a repeatable process for mass steelmaking.","1865","1865 is the clearest U.S. commercial launch because the first successful U.S. Bessemer steel works began producing saleable steel in that period.","9","Cost per ton of steel.","Tons of U.S. steel output produced with the Bessemer process or Bessemer-era steel rail output.","Volume","","","","","The Bessemer process itself was superseded, but low-cost steel remained a permanent civilizational substrate.","3","medium","1864 versus 1865 remains a minor normalization question for U.S. launch. Tier 1 diffusion attempt deferred because the Bessemer process was later superseded, so any threshold series is unstable between process adoption and the broader steel substrate it enabled."
"metabolism/electric_grid","Metabolism","Power","Electric Grid","Hard","metabolism/electricity","1882","Pearl Street Station is the most defensible invention boundary for the electric grid because it combined central generation, local distribution, meters, and paying end users in one practical urban system.","1882","The same Pearl Street deployment also marks the first clear U.S. commercial launch of the grid as a purchasable service network.","0","Cost per delivered kWh over networked transmission and distribution.","Share of U.S. households or customers connected to central-station electric service.","Households","28","38","43","58","Near-universal infrastructure dependency; most other modern substrates assume reliable grid access.","3","high","Uses Pearl Street for both invention and T0 because practical grid and commercial service coincide. Diffusion milestones use the percentage of U.S. dwelling units with electric service from Historical Statistics of the United States (Series S 108-119)."
"metabolism/electricity","Metabolism","Power","Electricity","Hard","","1831","Michael Faraday's demonstration of electromagnetic induction in 1831 created the first practical path to generating electricity mechanically rather than treating it only as a laboratory phenomenon.","1882","Pearl Street Station in lower Manhattan is the clearest defensible U.S. commercial launch because it sold centrally generated electricity to paying customers at city scale.","51","Cost per kWh delivered.","Retail electricity sales per capita, with household electrification used as a diffusion proxy where needed.","Population","28","38","43","58","Effectively universal dependency across U.S. households, firms, and public infrastructure.","7","medium","Scope intentionally separated from electric_grid; invention boundary may tighten to a practical dynamo milestone. Diffusion milestones use the percentage of U.S. dwelling units with electric service from Historical Statistics of the United States (Series S 108-119), which serves as the primary diffusion proxy for the electricity substrate."
"metabolism/internal_combustion_engine","Metabolism","Engines","Internal Combustion Engine","Hard","metabolism/oil_refining","1876","Nikolaus Otto's 1876 four-stroke engine is the cleanest practical invention boundary because it was the first reliable internal-combustion engine that became an immediate commercial alternative to steam power.","1885","1885 is the strongest current U.S. commercial launch year because Otto-licensed engines were being built and sold in the United States by then, establishing a real American market for practical internal-combustion prime movers before the later auto boom.","9","Cost per horsepower-hour delivered.","Share of U.S. freight ton-miles or vehicle-miles powered by internal-combustion engines, with engine shipments as a supporting early series.","Volume","","","","","Still a foundational power plant for road freight, aviation, construction equipment, and backup power despite electrification pressure.","3","medium","Uses the early U.S. stationary-engine market rather than vehicle commercialization as canonical T0; later automotive and diesel milestones remain downstream expansions of the substrate. Tier 1 diffusion attempt deferred because no single national direct-adoption series spans stationary engines, road vehicles, farm machinery, aviation, and other internal-combustion uses without a disputed proxy choice."
"metabolism/nuclear_power","Metabolism","Power","Nuclear Power","Hard","metabolism/electric_grid","1951","1951 is the cleanest practical invention boundary because EBR-I produced the first usable electricity from nuclear fission, demonstrating nuclear power as a working electricity-generating technology rather than a weapons-only reactor program.","1957","1957 is the strongest U.S. commercial launch year because Shippingport began operation as the first full-scale nuclear power plant serving utility customers rather than functioning only as an experimental reactor.","6","Cost per kWh delivered.","Share of U.S. electricity generation produced by nuclear power, with installed nuclear generating capacity as a supporting series.","Volume","","","","","Major zero-carbon baseload substrate with enduring importance to the U.S. grid, though expansion has been slower and more contested than earlier expectations.","4","high","Uses 1951 for first usable nuclear electricity and 1957 for commercial grid service; the 1954 Atomic Energy Act remains the key civilian-commercial precursor. Tier 1 diffusion attempt deferred because generation-share series are strong, but the practical saturation ceiling for nuclear power remains too policy-contingent for a clean threshold interpretation in Round 1."
"metabolism/oil_refining","Metabolism","Fuels","Oil Refining","Hard","","1854","Samuel Kier's mid-1850s distillation of petroleum into lamp oil is a practical U.S. refining boundary because it turned crude petroleum into a marketable product rather than a curiosity.","1859","1859 is the better commercial launch year because the Drake well and ensuing refinery buildout created a repeatable petroleum supply chain that customers and firms could actually purchase from at scale.","5","Cost per barrel refined.","U.S. refining capacity in barrels per day.","Volume","","","","","Still foundational to transport fuels, petrochemicals, and military logistics despite energy-transition pressures.","3","medium","Kier-era invention boundary retained; the repo may later split kerosene-era and motor-fuel-era refining. Tier 1 diffusion attempt deferred because refining capacity is a strong industrial exposure series but does not yet have a stable adoption-threshold denominator for Round 1."
"metabolism/portland_cement_concrete","Metabolism","Materials","Portland Cement Concrete","Hard","","1824","Joseph Aspdin's 1824 patent is the conventional practical invention boundary for portland cement, the key binder that made modern concrete a scalable industrial substrate.","1875","1875 is the strongest U.S. commercial launch year because USGS states that by then Saylor had overcome the early process problems and was making high-quality true portland cement commercially in Pennsylvania.","51","Cost per cubic yard of concrete placed or per ton of cement produced.","U.S. portland cement consumption or concrete volume used in construction.","Volume","","","","","One of the deepest physical substrates in the built environment, embedded in buildings, roads, utilities, dams, and industrial sites.","3","medium","Uses 1875 because it is the stronger commercial-quality boundary; the row remains intentionally centered on the cement-plus-concrete material system rather than on cement chemistry in isolation. Tier 1 diffusion attempt deferred because consumption tracks cyclical construction demand and no clean saturation denominator is yet frozen."
"nervous_system/fiber_optics","Nervous_System","Networks","Fiber Optics","Hard","nervous_system/telephone;nervous_system/semiconductors","1970","1970 is the strongest practical invention boundary because Corning produced the first low-loss optical fiber capable of carrying telecommunications signals over useful distances.","1977","1977 is the clearest U.S. commercial launch year because Bell Labs records that commercial traffic began on the Chicago lightwave system on April 1, 1977.","7","Cost per transmitted bit-kilometer or per Mbps-mile.","Fiber route-miles in operation in the U.S., with share of U.S. telecom backbone traffic carried on fiber as a supporting metric.","Volume","","","","","Core physical bandwidth substrate for telecom backbones, broadband access, data centers, and long-haul internet transport.","3","medium","Uses 1977 because Bell System commercial traffic began in Chicago that year; the 1976 Atlanta experiment remains a precursor rather than canonical T0. Tier 1 diffusion attempt deferred because route-mile and traffic-share series do not yet form one continuous national threshold series that captures both buildout and bandwidth scaling."
"nervous_system/internet","Nervous_System","Networks","Internet","Soft","nervous_system/telephone;nervous_system/semiconductors","1969","ARPANET's first node-to-node operation in 1969 is the clearest practical invention boundary because it marks a working packet-switched network rather than a theoretical protocol proposal.","1991","1991 is the stronger canonical U.S. commercial launch year because NSF explicitly identifies that year as the point when the Internet was opened to public and commercial use, even though precursor commercial ISPs appeared slightly earlier.","22","Cost per Mbps-month of bandwidth delivered.","Share of U.S. households or adults with Internet access.","Population","6","7","10","24","Near-ubiquitous dependence across communication, commerce, logistics, software, and state capacity.","7","medium","1989 commercial ISP availability is treated as a precursor milestone; 1991 is canonical T0. Tier 1 diffusion series uses NTIA/Census person-level Internet use from any location; thresholds are 22.2 percent in 1997, 32.7 percent in 1998, 53.9 percent in 2001, and 75 percent in 2015."
"nervous_system/microprocessors","Nervous_System","Compute","Microprocessors","Hard","nervous_system/semiconductors","1971","1971 is the cleanest practical invention boundary because Intel completed and released the 4004, the first programmable microprocessor, as a working general-purpose logic device on a chip.","1971","1971 is also the strongest U.S. commercial launch year because Intel introduced the 4004 into the market that year for commercial use rather than as a lab-only prototype.","0","Cost per unit of compute delivered.","U.S. shipments or installed base of microprocessor-powered computing devices, with semiconductor compute capacity as a supporting exposure series.","Volume","","","","","Foundational compute substrate embedded in PCs, servers, industrial control, vehicles, phones, and many later digital systems.","3","high","Narrower than semiconductors and intended to capture the CPU-on-a-chip architectural break; the long-run adoption series may later need an exposure metric instead of pure device counts. Tier 1 diffusion attempt deferred because device counts understate embedded diffusion while compute-exposure metrics are not yet normalized."
"nervous_system/radio","Nervous_System","Communications","Radio","Hard","metabolism/electricity;nervous_system/telegraph","1906","1906 is the strongest practical invention boundary because Fessenden's Brant Rock transmission demonstrated long-distance voice-and-music broadcasting rather than point-to-point wireless telegraphy alone.","1920","1920 is the clearest U.S. commercial launch year because KDKA's election-night broadcast is widely treated as the first commercial U.S. radio broadcast.","14","Cost per listener-hour delivered.","Share of U.S. households with a radio receiver.","Households","","","","","Radio remains a durable mass-audience and emergency-information substrate even after television, internet, and mobile media displaced its peak centrality.","4","medium","This row is scoped to broadcast radio as a mass communication substrate, not to wireless telegraphy or later two-way mobile radio systems. Tier 1 diffusion attempt deferred pending normalization of one reproducible national household-radio-ownership table from Historical Statistics and Census sources into exact threshold years."
"nervous_system/semiconductors","Nervous_System","Compute","Semiconductors","Hard","metabolism/electricity","1947","The Bell Labs transistor announcement marks the practical invention boundary because it demonstrated a working solid-state alternative to vacuum tubes.","1951","1951 is the best current launch year because commercially manufactured junction transistors were entering the market by then, allowing firms to buy semiconductor devices as industrial inputs.","4","Cost per transistor or compute delivered per dollar.","U.S. GDP exposure to semiconductor-dependent sectors, with semiconductor industry output as a supporting series.","GDP","","","","","Foundational dependency across computation, communications, industrial control, and consumer electronics.","3","medium","1951 is retained for T0, but 1954 remains a plausible alternative normalization candidate. Tier 1 diffusion attempt deferred because indirect GDP exposure remains the right lens, but the corresponding milestone method is not yet stable enough for reproducible thresholds."
"nervous_system/telegraph","Nervous_System","Communications","Telegraph","Hard","","1840","Morse's U.S. telegraph patent in 1840 is the cleanest practical invention boundary because it marks a working system rather than a speculative concept.","1845","1845 is the stronger U.S. commercial launch year because telegraph service moved beyond government demonstration into paid public and company operation, including the creation of the Magnetic Telegraph Company and commercial service on the Washington-Baltimore line.","5","Cost per message-mile.","Miles of telegraph line in operation in the United States.","Volume","35","45","60","70","Superseded as a standalone mass service, but foundational to later wired communications.","7","high","1844 is preserved in the profile as the operational demonstration milestone; 1845 is canonical T0. Diffusion milestones use the percentage of the 1920 peak U.S. telegraph wire mileage (approx. 2.2 million miles) as the saturation denominator."
"nervous_system/telephone","Nervous_System","Communications","Telephone","Hard","nervous_system/telegraph","1876","Bell's 1876 patent and successful first call are the most defensible practical invention boundary for the telephone as a working voice-transmission system.","1878","1878 is the stronger commercial launch year because the first commercial exchange transformed the telephone from an invention into a purchasable network service.","2","Cost per subscriber connection or call carried over distance.","Household telephone penetration.","Population","42","42","72","82","Legacy fixed-line telephony has declined, but the telephone network model remained foundational for later communications.","3","medium","1877 company formation is treated as precursor; 1878 exchange service is canonical T0. Tier 1 diffusion series uses FCC household telephone-penetration estimates; because the standardized national household series begins in 1920 at 35.0 percent, T10 and T25 are first-observed threshold years rather than exact first crossings."
"vascular/containerization","Vascular","Logistics","Containerization","Hard","vascular/railroads;vascular/freight_trucking","1956","The 1956 voyage of the Ideal X is the clearest practical invention boundary because it demonstrated modern containerized intermodal shipping in working service.","1956","The same Ideal X operation marks U.S. commercial launch because container shipping was used in revenue service rather than as a laboratory or military-only experiment.","0","Cost per ton handled or shipped in intermodal service.","TEUs handled in U.S. ports, or containerized freight ton-miles, with container share of freight as a supporting metric.","Volume","11","14","18","33","Standard containerized handling is now the default backbone for large parts of maritime and intermodal freight.","5","high","1956 launch precedes the later ISO standardization milestone of the 1960s. Diffusion milestones use the containerized share of general cargo as a proxy for adoption, based on Port of NY/NJ and Pacific Coast throughput data."
"vascular/freight_trucking","Vascular","Freight","Freight Trucking","Hard","metabolism/internal_combustion_engine;metabolism/oil_refining","1896","1896 is the cleanest practical invention boundary because the first motor truck was built that year, establishing the dedicated freight-carrying truck as a distinct vehicle class.","1911","1911 is the strongest current U.S. commercial launch year because FHWA identifies that year's transcontinental truck trip and motor truck show as the point when freight motor carriage had clearly grown to economic importance as a working freight service.","15","Cost per ton-mile.","U.S. truck freight ton-miles.","Volume","","","","","Dominant U.S. door-to-door freight substrate and the key connective tissue between ports, warehouses, rail, and retail distribution.","3","medium","Uses 1911 to represent trucking as a recognizably operating freight substrate rather than merely the first saleable truck vehicle. Tier 1 diffusion attempt deferred because truck ton-miles capture freight work well but do not yet have a frozen saturation denominator across modal substitution."
"vascular/pipelines","Vascular","Logistics","Pipelines","Hard","metabolism/oil_refining","1879","1879 is the strongest practical invention boundary because the Tidewater line demonstrated the first successful long-distance oil pipeline capable of displacing barrel-and-rail transport.","1879","The same 1879 Tidewater operation is the clearest U.S. commercial launch because shippers could use pipeline transport as an operating freight service rather than as an experimental line.","0","Cost per barrel-mile delivered.","U.S. pipeline ton-miles moved, with total trunk pipeline mileage as a supporting diffusion series.","Volume","","","","","Core bulk-transport substrate for crude oil, refined products, natural gas, and many industrial feedstocks.","3","medium","Centers the modern long-distance fuel-and-feedstock pipeline substrate rather than ancient or municipal pipe systems; later splitting crude/product and gas pipelines remains open. Tier 1 diffusion attempt deferred because mileage and throughput series diverge across crude, product, and gas networks without one canonical threshold denominator."
"vascular/railroads","Vascular","Freight","Railroads","Hard","","1830","For a U.S.-scoped substrate, 1830 is the best practical invention boundary because common-carrier steam railroad service began operation in that year.","1830","The same 1830 operating milestone also marks commercial launch because freight and passenger rail service was being offered as a transport service rather than merely tested.","0","Cost per ton-mile.","U.S. railroad freight ton-miles, with route miles as an early diffusion proxy.","Volume","30","50","60","70","Still critical for bulk freight, though no longer the dominant passenger substrate.","6","medium","1830 reflects U.S. common-carrier steam service rather than earlier prototypes or horse railways. Diffusion milestones use the percentage of the 1916 peak U.S. railroad route mileage (254,037 miles) as the saturation denominator."
"vascular/refrigerated_logistics_cold_chain","Vascular","Logistics","Refrigerated Logistics Cold Chain","Hard","vascular/railroads","1877","1877 is the strongest practical invention boundary because Swift's successful refrigerated rail shipment showed that perishable goods could move long distance in a controlled cold chain rather than only through local storage or seasonal ice.","1877","1877 is the clearest U.S. commercial launch year because Swift used the refrigerator car in revenue meat distribution, proving a live logistics service rather than an isolated engineering trial.","0","Cost per ton-mile delivered under refrigerated conditions.","Refrigerated warehouse cubic capacity, with refrigerated car and trailer capacity as supporting transport series.","Volume","","","","","Core perishables logistics substrate spanning food, pharmaceuticals, biologics, and temperature-sensitive retail distribution.","4","medium","Uses the first successful refrigerated meat-shipping system as the canonical origin, while later mechanical refrigeration and highway reefer networks are treated as major scaling phases. Tier 1 diffusion attempt deferred because refrigerated warehouse, railcar, and trailer-capacity series do not yet combine into one clean chain-wide national threshold series."
